Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Black or African American Male,0 to 4,Seattle MSA,8145.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,5 to 9,Washington,50296.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,35 to 39,,180.3338225523339,1982,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,50 to 54,Washington,5478.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Female,55 to 59,,103671.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,"Pierce County, WA",962.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Male,80 to 84,Washington,296.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Male,20 to 24,,80487.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,40 to 44,United States,1317267.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,15 to 19,,76337.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,65 to 69,Seattle MSA,63775.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,40 to 44,"Pierce County, WA",28.16776190419563,1983,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,50 to 54,"Pierce County, WA",384.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Multiracial Female,70 to 74,United States,41400.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,10 to 14,Seattle MSA,10115.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,,184.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,Washington,6470.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,75 to 79,United States,551916.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,20 to 24,Washington,10522.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,0 to 4,"Pierce County, WA",44.83322534502143,1986,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,20 to 24,"Pierce County, WA",556.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Female,45 to 49,"Pierce County, WA",2641.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Female,60 to 64,"Pierce County, WA",2404.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,45 to 49,Seattle MSA,159.27200950432373,1991,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,5 to 9,Washington,383.2110034800466,1991,nan,Moodys,State,53,Washington,Benchmark
Asian Female,5 to 9,Washington,16340.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Female,80 to 84,"Pierce County, WA",672.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,55 to 59,"Pierce County, WA",21809.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,50 to 54,United States,16775.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,65+,United States,26792.26713399958,1982,nan,Moodys,National,00,United States,Benchmark
All,65+,United States,36659.835317981146,2005,nan,Moodys,National,00,United States,Benchmark
White Male,75 to 79,"Pierce County, WA",6060.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,35 to 39,Washington,20899.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,60 to 64,Washington,3077.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,55 to 59,"Pierce County, WA",348.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,55 to 59,United States,74011.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,70 to 74,Seattle MSA,54665.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,20 to 24,Seattle MSA,1519.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,20 to 24,Washington,12900.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,75 to 79,Seattle MSA,168.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,10 to 14,Washington,127397.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,75 to 79,"Pierce County, WA",129.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,0 to 4,Seattle MSA,200.1649991364237,2003,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,50 to 54,"Pierce County, WA",26.28799945779048,1991,nan,Moodys,County,53053,Pierce County,Broad
Male,55 to 59,"Pierce County, WA",28226.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Female,0 to 4,Seattle MSA,16701.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,30 to 34,,224.98618141046586,1983,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,25 to 29,Washington,32862.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,Seattle MSA,31.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,55 to 59,Seattle MSA,1029.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,65 to 69,United States,6901813.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,20 to 24,Washington,3412.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,55 to 59,United States,66870.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,35 to 39,Washington,462.979967806519,1992,nan,Moodys,State,53,Washington,Benchmark
Female,40 to 44,,133750.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,50 to 54,United States,1359562.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Male,40 to 44,,4006.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,55 to 59,,6206.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,50 to 54,"Pierce County, WA",31.446003934719588,1994,nan,Moodys,County,53053,Pierce County,Broad
Black or African American Female,50 to 54,,6663.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,55 to 59,"Pierce County, WA",2221.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,65 to 69,Seattle MSA,714.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,85+,Washington,370.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,80 to 84,Washington,652.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,30 to 34,"Pierce County, WA",29.662048977395248,1976,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,0 to 4,Washington,1380.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,Washington,2120.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,25 to 29,Washington,254407.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,55 to 59,,127275.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,5 to 9,United States,18830.873312452903,1972,nan,Moodys,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,65 to 69,Seattle MSA,463.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Male,25 to 29,,1767.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,25 to 29,,30769.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,0 to 4,"Pierce County, WA",6028.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,85+,Washington,623.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,70 to 74,"Pierce County, WA",69.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,55 to 59,"Pierce County, WA",19840.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,10 to 14,United States,2535466.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,40 to 44,"Pierce County, WA",325.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,5 to 9,,55180.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,85+,"Pierce County, WA",23.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,80 to 84,,18986.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,45 to 49,,13907.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,70 to 74,,445.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,25 to 29,Washington,12386.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,60 to 64,Washington,190.19199604796628,1995,nan,Moodys,State,53,Washington,Benchmark
Male,45 to 49,"Pierce County, WA",26954.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,60 to 64,"Pierce County, WA",194.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,10 to 14,"Pierce County, WA",14911.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,60 to 64,United States,389929.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,20 to 24,"Pierce County, WA",524.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,15 to 19,United States,2812357.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Male,80 to 84,United States,2991466.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Male,60 to 64,United States,101062.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,10 to 14,Seattle MSA,21319.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,"Pierce County, WA",25.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Black or African American Female,70 to 74,Washington,4731.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Female,10 to 14,Washington,42338.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,45 to 49,Seattle MSA,1217.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,5 to 9,Seattle MSA,1254.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,85+,United States,52391.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,30 to 34,Seattle MSA,1781.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,40 to 44,,141672.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,40 to 44,,288.9440031404732,2004,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,30 to 34,United States,83597.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,60 to 64,Seattle MSA,986.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,55 to 59,United States,1659611.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Female,60 to 64,Seattle MSA,75000.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,15 to 19,"Pierce County, WA",2151.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,80 to 84,United States,1632.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,65+,,220.94289622528973,1980,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,80 to 84,United States,25464.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,70 to 74,"Pierce County, WA",541.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,35 to 39,United States,18409.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,60 to 64,United States,12713.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,25 to 29,United States,19091.103545652477,1979,nan,Moodys,National,00,United States,Benchmark
All,45 to 49,United States,21258.17955416967,2002,nan,Moodys,National,00,United States,Benchmark
Asian Female,65 to 69,Seattle MSA,13035.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,75 to 79,Seattle MSA,34715.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,25 to 29,Washington,32676.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,75 to 79,Seattle MSA,194.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,85+,,982.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,75 to 79,"Pierce County, WA",95.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,75 to 79,Seattle MSA,223.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,80 to 84,Seattle MSA,731.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,65+,United States,33336.25711877958,1994,nan,Moodys,National,00,United States,Benchmark
Male,85+,Seattle MSA,21784.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,15 to 19,"Pierce County, WA",3339.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,80 to 84,United States,1942034.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,0 to 4,Washington,232786.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,15 to 19,"Pierce County, WA",2581.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,"Pierce County, WA",52.22408506652675,1984,nan,Moodys,County,53053,Pierce County,Broad
Hispanic Female,5 to 9,United States,2563517.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,20 to 24,Washington,36553.0,2014,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Female,25 to 29,"Pierce County, WA",2288.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,0 to 4,United States,20248.278927305862,2009,nan,Moodys,National,00,United States,Benchmark
Black or African American Male,60 to 64,Washington,8072.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,0 to 4,Washington,51399.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,55 to 59,Washington,12668.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,40 to 44,United States,71995.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,0 to 4,United States,76680.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,60 to 64,United States,75548.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Female,70 to 74,United States,5062734.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,25 to 29,Seattle MSA,1125.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,5 to 9,Seattle MSA,58664.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,80 to 84,Seattle MSA,1139.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,55 to 59,Seattle MSA,130.84500272028387,1998,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,30 to 34,"Pierce County, WA",1262.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,50 to 54,United States,78456.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,80 to 84,Seattle MSA,3548.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,40 to 44,Seattle MSA,224.1909825159489,1992,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,30 to 34,Washington,12451.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,0 to 4,United States,1326260.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,0 to 4,Seattle MSA,19091.0,2011,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,45 to 49,"Pierce County, WA",56.02200171836392,2002,nan,Moodys,County,53053,Pierce County,Broad
All,45 to 49,"Pierce County, WA",37.31299942143188,1992,nan,Moodys,County,53053,Pierce County,Broad
Black or African American Male,10 to 14,"Pierce County, WA",1924.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,25 to 29,United States,632664.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,10 to 14,United States,86661.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Male,35 to 39,,18513.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,70 to 74,Seattle MSA,606.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,60 to 64,,5158.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,65 to 69,,538.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,80 to 84,Washington,3737.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,10 to 14,Washington,15112.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,55 to 59,,14361.0,2019,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,55 to 59,Seattle MSA,110.84799820844964,1995,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native American Male,5 to 9,Seattle MSA,813.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Female,20 to 24,United States,92166.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,85+,"Pierce County, WA",198.0,2023,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Female,25 to 29,Washington,38335.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,70 to 74,Washington,3047.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,0 to 4,Washington,2436.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Female,65 to 69,,997.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,85+,United States,1897693.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,25 to 29,,238.68599102511706,1994,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,40 to 44,,1252.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,30 to 34,Washington,179534.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,30 to 34,United States,2347827.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,65 to 69,Seattle MSA,2253.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Female,35 to 39,"Pierce County, WA",3687.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Female,75 to 79,,9356.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,30 to 34,Washington,231567.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,75 to 79,Washington,96141.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,55 to 59,Washington,3096.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,30 to 34,"Pierce County, WA",1626.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,0 to 4,Washington,9852.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,40 to 44,Washington,21287.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,55 to 59,United States,10630482.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Male,70 to 74,Washington,6243.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Female,35 to 39,Seattle MSA,132999.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,70 to 74,Washington,996.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Female,45 to 49,United States,69599.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,80 to 84,United States,284126.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,5 to 9,Washington,1940.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,40 to 44,"Pierce County, WA",3210.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Male,80 to 84,"Pierce County, WA",61.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,15 to 19,"Pierce County, WA",3367.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,85+,United States,3902430.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Male,80 to 84,Seattle MSA,110.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,10 to 14,,1243.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,,4166.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,85+,Washington,7546.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Multiracial Female,85+,Washington,677.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,15 to 19,,122009.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,70 to 74,Washington,2315.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,0 to 4,Seattle MSA,14951.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,10 to 14,United States,17453.52679821323,1984,nan,Moodys,National,00,United States,Benchmark
Female,80 to 84,United States,3443304.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,25 to 29,United States,255180.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,70 to 74,,9345.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,20 to 24,,18561.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,85+,,1818.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,20 to 24,,204.2892983534638,1987,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,70 to 74,Seattle MSA,455.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,10 to 14,,15463.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,40 to 44,"Pierce County, WA",350.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Black or African American Female,80 to 84,,938.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,15 to 19,"Pierce County, WA",1596.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,35 to 39,"Pierce County, WA",23.02099198571877,1975,nan,Moodys,County,53053,Pierce County,Broad
All,35 to 39,,275.855000897789,2008,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,85+,"Pierce County, WA",13.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,85+,United States,1764.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,50 to 54,,3100.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
