Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Multiracial Female,10 to 14,"Pierce County, WA",3837.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Asian Male,30 to 34,,37356.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,20 to 24,United States,96960.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,70 to 74,,583.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,50 to 54,,189.75200218668067,1997,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,20 to 24,Seattle MSA,13062.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Male,55 to 59,Washington,17501.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,40 to 44,Washington,175290.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,10 to 14,Washington,46922.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Female,20 to 24,Seattle MSA,17602.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,30 to 34,Washington,18301.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,15 to 19,Seattle MSA,7246.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,65 to 69,Washington,190573.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,0 to 4,,23002.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,75 to 79,Washington,488.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,65 to 69,"Pierce County, WA",537.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
All,10 to 14,United States,20876.671613188544,1970,nan,Moodys,National,00,United States,Benchmark
Asian Female,80 to 84,"Pierce County, WA",754.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,65 to 69,Washington,167890.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Female,10 to 14,"Pierce County, WA",1914.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Male,75 to 79,"Pierce County, WA",9849.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Female,70 to 74,,50384.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,10 to 14,"Pierce County, WA",2962.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,50 to 54,United States,10593345.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,70 to 74,United States,54711.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,20 to 24,Washington,3317.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,10 to 14,Washington,2173.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
