Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2015,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,43.0,Benchmark
2011,State,Washington,53,RDEATH,Census-County-State-US,PEP_Vintage_2020,7.3419614682,Benchmark
2009,State,Washington,53,NATURALCHG,Moodys-State,Moodys,39895.80513030866,Benchmark
2007,National,United States,00,DEATHS,Moodys-US,Moodys,-2423018.929105199,Benchmark
2024,National,United States,00,BIRTHS,Census-County-State-US,PEP_Vintage_2025,3608217.0,Benchmark
2010,County or Equivalent,Pierce County,53053,CENSUS,Census-County-State-US,PEP_Vintage_2020,795225.0,Broad
2023,State,Washington,53,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,55706.0,Benchmark
2001,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-598.0000000000006,Broad
2019,National,United States,00,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,328329953.0,Benchmark
1992,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-234.75246413681498,Broad
1993,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2740324.8696096786,Benchmark
2015,County or Equivalent,Pierce County,53053,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,-37.0,Broad
2013,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Census-CBSA,PEP_Vintage_2020,-23205.0,Benchmark
2004,State,Washington,53,NATURALCHG,Moodys-State,Moodys,36000.62034684524,Benchmark
2017,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,4155443.0,Benchmark
1990,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Moodys-County,Moodys,-1050.5119507383308,Benchmark
1991,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-19313.962150683903,Benchmark
2025,National,United States,00,RBIRTH,Census-County-State-US,PEP_Vintage_2025,10.620478879,Benchmark
2003,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,4553.938876202319,Broad
2019,County or Equivalent,Pierce County,53053,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,4139.0,Broad
1987,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,19735.443466355366,Benchmark
2011,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Census-CBSA,PEP_Vintage_2020,21674.0,Benchmark
2014,Region,Puget Sound Region,53033-53035-53053-53061,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,14.8111047066,Benchmark
1999,County or Equivalent,Pierce County,53053,BIRTHS,Moodys-County,Moodys,9137.938491933233,Broad
2017,National,United States,00,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.003025953,Benchmark
1997,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP City and Town Postcensal Tables: 1990-2000,4560.0,Focus
2009,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,16901.03955199787,Benchmark
2023,County or Equivalent,Pierce County,53053,RBIRTH,Census-County-State-US,PEP_Vintage_2025,11.69531499,Broad
2002,National,United States,00,RESIDUAL,Moodys-US,Moodys,66478.9038055091,Benchmark
2021,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2025,-25471.0,Benchmark
2022,State,Washington,53,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-3314.0,Benchmark
2019,Metropolitan Statistical Area,Seattle MSA,42660,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2020,6.0981848773,Benchmark
2021,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,4294279.0,Benchmark
1991,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,23707.023761689317,Benchmark
1998,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,18598.15653806426,Benchmark
2023,State,Washington,53,NETMIG,Census-County-State-US,PEP_Vintage_2025,38195.0,Benchmark
2024,National,United States,00,RDEATH,Census-County-State-US,PEP_Vintage_2025,9.1434046398,Benchmark
2013,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2020,28740.0,Benchmark
2022,Region,Puget Sound Region,53033-53035-53053-53061,GQESTIMATES,Census-County-State-US,PEP_Vintage_2025,85225.0,Benchmark
1984,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Moodys-CBSA,Moodys,3706.0188368618406,Benchmark
2009,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP City and Town Intercensal Datasets: 2000-2010,8933.0,Focus
2023,County or Equivalent,Pierce County,53053,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,4.11218895,Broad
2013,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Census-CBSA,PEP_Vintage_2020,45460.0,Benchmark
2013,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,12090.0,Benchmark
2025,County or Equivalent,Pierce County,53053,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,946288.0,Broad
2003,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,8401.370951312918,Benchmark
2009,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-72.00000000000003,Broad
2010,County or Equivalent,Pierce County,53053,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,182.0,Broad
2019,County or Equivalent,Pierce County,53053,BIRTHS,Census-County-State-US,PEP_Vintage_2020,11279.0,Broad
2016,National,United States,00,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,323071755.0,Benchmark
2022,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Census-County-State-US,PEP_Vintage_2025,47273.0,Benchmark
2012,State,Washington,53,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,6898599.0,Benchmark
2021,County or Equivalent,Pierce County,53053,RBIRTH,Census-County-State-US,PEP_Vintage_2025,11.91425925,Broad
2009,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,21775.75710171942,Benchmark
1991,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,10659.376980863946,Benchmark
2024,County or Equivalent,Pierce County,53053,BIRTHS,Census-County-State-US,PEP_Vintage_2025,10532.0,Broad
1985,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,-1115.4412368806552,Benchmark
1996,State,Washington,53,DEATHS,Moodys-State,Moodys,-41636.581096348564,Benchmark
2007,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Moodys-County,Moodys,25102.270150477234,Benchmark
2015,State,Washington,53,NETMIG,Census-County-State-US,PEP_Vintage_2020,74744.0,Benchmark
2017,National,United States,00,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,3.4001585911,Benchmark
1984,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2216017.9615746345,Benchmark
1992,National,United States,00,NATURALCHG,Moodys-US,Moodys,1936950.689781003,Benchmark
1995,National,United States,00,INTERNATIONALMIG,Moodys-US,Moodys,1414416.184515862,Benchmark
2016,Metropolitan Statistical Area,Seattle MSA,42660,RBIRTH,Census-CBSA,PEP_Vintage_2020,38.917001316,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,3.138291004,Benchmark
1987,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Moodys-CBSA,Moodys,9466.986576463385,Benchmark
