Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
1994,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RESIDUAL,Moodys-County,Moodys,141.99951477365886,Peer
2013,Metropolitan Statistical Area,San Antonio MSA,41700,RDEATH,Census-CBSA,PEP_Vintage_2020,66.0559738868,Peer
1998,State,Texas,48,DOMESTICMIG,Moodys-State,Moodys,63932.16994151332,Benchmark
1986,County or Equivalent,Travis County,48453,RESIDUAL,Moodys-County,Moodys,195.38491778678406,Focus
2021,National,US,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,0.0,Benchmark
1981,State,Texas,48,INTERNATIONALMIG,Moodys-State,Moodys,34195.0948072266,Benchmark
2014,Metropolitan Statistical Area,Houston MSA,26420,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,6526441.0,Peer
2009,Metropolitan Statistical Area,Houston MSA,26420,POPESTIMATE,Moodys-CBSA,Moodys,5852194.0,Peer
2017,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RDEATH,Census-County-State-US,PEP_Vintage_2020,88.1013882158,Peer
2022,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Census-CBSA,PEP_Vintage_2025,-54389.0,Peer
2014,State,Texas,48,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,7.9926668428,Benchmark
2018,State,Texas,48,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,594.0,Benchmark
2000,Metropolitan Statistical Area,Dallas MSA,19100,BIRTHS,Moodys-CBSA,Moodys,89363.2998293549,Peer
2002,National,US,00,NATURALCHG,Moodys-US,Moodys,1576059.3551461643,Benchmark
2007,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,INTERNATIONALMIG,Moodys-County,Moodys,1173.3085835680051,Peer
1982,State,Texas,48,BIRTHS,Moodys-State,Moodys,290668.97848933545,Benchmark
2012,Metropolitan Statistical Area,San Antonio MSA,41700,RNATURALCHG,Census-CBSA,PEP_Vintage_2020,30.2318776061,Peer
1989,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Moodys-CBSA,Moodys,68491.89909206498,Peer
2012,Metropolitan Statistical Area,Austin MSA,12420,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,41121.0,Broad
1992,Metropolitan Statistical Area,San Antonio MSA,41700,RESIDUAL,Moodys-CBSA,Moodys,523.034124556428,Peer
2013,Metropolitan Statistical Area,Houston MSA,26420,NETMIG,Census-CBSA,PEP_Vintage_2020,86294.0,Peer
1989,Metropolitan Statistical Area,Houston MSA,26420,POPESTIMATE,Moodys-CBSA,Moodys,3686217.0881696003,Peer
2023,County or Equivalent,Travis County,48453,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,17294.0,Focus
2017,Metropolitan Statistical Area,Dallas MSA,19100,NPOPCHG,Census-CBSA,PEP_Vintage_2020,142232.0,Peer
2013,National,US,00,RNETMIG,Census-County-State-US,PEP_Vintage_2020,2.6978163801,Benchmark
2021,National,US,00,RBIRTH,Census-County-State-US,PEP_Vintage_2025,10.801797082,Benchmark
2006,Metropolitan Statistical Area,Austin MSA,12420,INTERNATIONALMIG,Moodys-CBSA,Moodys,8171.6026105388755,Broad
2022,County or Equivalent,Travis County,48453,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,17.0,Focus
1997,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Moodys-CBSA,Moodys,-511.9374796812067,Peer
2019,Metropolitan Statistical Area,Austin MSA,12420,RINTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,6.2959960274,Broad
1992,State,Texas,48,RESIDUAL,Moodys-State,Moodys,6338.999999999997,Benchmark
2015,Metropolitan Statistical Area,San Antonio MSA,41700,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,2379357.0,Peer
1984,Metropolitan Statistical Area,Austin MSA,12420,NATURALCHG,Moodys-CBSA,Moodys,8504.062820927493,Broad
1993,Metropolitan Statistical Area,Houston MSA,26420,BIRTHS,Moodys-CBSA,Moodys,76007.65887298773,Peer
1989,State,Texas,48,BIRTHS,Moodys-State,Moodys,304144.0563473745,Benchmark
2023,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DEATHS,Census-County-State-US,PEP_Vintage_2025,-8594.0,Peer
2016,National,US,00,DEATHS,Census-County-State-US,PEP_Vintage_2020,-2703215.0,Benchmark
1991,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DOMESTICMIG,Moodys-County,Moodys,5205.372313540441,Peer
2022,County or Equivalent,Travis County,48453,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,1335984.0,Focus
2017,Metropolitan Statistical Area,San Antonio MSA,41700,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,50095.0,Peer
1981,National,US,00,RESIDUAL,Moodys-US,Moodys,65260.61378073723,Benchmark
1991,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Moodys-CBSA,Moodys,-10161.487011934785,Peer
2021,Metropolitan Statistical Area,San Antonio MSA,41700,RINTERNATIONALMIG,Census-CBSA,PEP_Vintage_2025,2.553266324,Peer
2012,State,Texas,48,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,593059.0,Benchmark
1983,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,INTERNATIONALMIG,Moodys-County,Moodys,-16340.210471685601,Peer
2003,Metropolitan Statistical Area,Houston MSA,26420,NATURALCHG,Moodys-CBSA,Moodys,57918.564826398084,Peer
2014,Metropolitan Statistical Area,San Antonio MSA,41700,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,50157.0,Peer
1996,Metropolitan Statistical Area,Austin MSA,12420,POPESTIMATE,Moodys-CBSA,Moodys,1073036.941298231,Broad
2010,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Census-CBSA,PEP_Vintage_2020,-33368.0,Peer
2023,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RNETMIG,Census-County-State-US,PEP_Vintage_2025,290.65262708,Peer
1995,County or Equivalent,Travis County,48453,BIRTHS,Moodys-County,Moodys,11087.658693284515,Focus
2011,National,US,00,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,2.5617052415,Benchmark
2007,Metropolitan Statistical Area,Austin MSA,12420,RESIDUAL,Moodys-CBSA,Moodys,444.00000000000017,Broad
1996,State,Texas,48,POPESTIMATE,Moodys-State,Moodys,19340341.796874985,Benchmark
2014,County or Equivalent,Travis County,48453,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,30065.0,Focus
2025,Metropolitan Statistical Area,San Antonio MSA,41700,RNATURALCHG,Census-CBSA,PEP_Vintage_2025,5.829439643,Peer
1991,County or Equivalent,Travis County,48453,NATURALCHG,Moodys-County,Moodys,7326.792481052995,Focus
1998,Metropolitan Statistical Area,Houston MSA,26420,DEATHS,Moodys-CBSA,Moodys,-27684.09972190205,Peer
2010,Metropolitan Statistical Area,San Antonio MSA,41700,NETMIG,Census-CBSA,PEP_Vintage_2020,6308.0,Peer
1993,Metropolitan Statistical Area,Austin MSA,12420,NATURALCHG,Moodys-CBSA,Moodys,9984.122764974856,Broad
2013,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Census-CBSA,PEP_Vintage_2020,-15984.0,Peer
1989,National,US,00,RESIDUAL,Moodys-US,Moodys,69204.55838209152,Benchmark
1996,Metropolitan Statistical Area,Austin MSA,12420,DOMESTICMIG,Moodys-CBSA,Moodys,19887.733772131796,Broad
2025,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2025,8553.0,Peer
1998,Metropolitan Statistical Area,Dallas MSA,19100,NATURALCHG,Moodys-CBSA,Moodys,54482.6883101121,Peer
2004,Metropolitan Statistical Area,Dallas MSA,19100,BIRTHS,Moodys-CBSA,Moodys,96898.0029965145,Peer
